epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2865,0.7443,3.29518,1.33448,0.00434,0.83333,0.26173,0.17975,0.35837,3.89144,0.78649,8.75e-05,8.75e-05,8.75e-05
2,56.4546,0.32536,2.92675,1.12551,0.00522,0.83333,0.30092,0.22421,0.41885,3.75971,0.69251,0.000183787,0.000183787,0.000183787
3,84.3067,0.30658,2.45665,1.0782,0.00769,0.83333,0.46023,0.34558,0.70583,3.87275,0.97069,0.000276115,0.000276115,0.000276115
4,116.055,0.36289,2.27128,1.10952,0.01346,0.83333,0.42618,0.41229,0.52161,3.64914,0.85189,0.000364482,0.000364482,0.000364482
5,151.106,0.30723,1.98418,1.05684,0.00938,0.83333,0.50427,0.40137,0.92628,3.65105,1.45532,0.00044889,0.00044889,0.00044889
6,187.095,0.30066,2.00078,1.04913,0.18116,0.33333,0.35976,0.23689,1.18333,3.22857,1.62692,0.000529338,0.000529338,0.000529338
7,220.966,0.35124,1.94628,1.07422,0.63618,0.40476,0.48854,0.37656,1.00914,2.86419,1.41647,0.000605825,0.000605825,0.000605825
8,253.989,0.34976,1.85143,1.0333,0.21519,0.38488,0.33988,0.15963,1.75318,4.32906,2.39908,0.000678352,0.000678352,0.000678352
9,285.382,0.51843,1.98478,1.24071,0.14878,0.60319,0.25265,0.13166,1.70357,5.98408,2.42552,0.00074692,0.00074692,0.00074692
10,316.195,0.35002,1.83054,1.06598,0.7312,0.30952,0.29578,0.26633,0.7279,3.12955,0.99497,0.000811528,0.000811528,0.000811528
11,347.313,0.33845,1.83537,1.05478,0.11243,0.39741,0.18067,0.11486,1.16511,4.23901,1.56528,0.000872175,0.000872175,0.000872175
12,378.126,0.37506,1.72867,1.08701,0.114,0.30952,0.19642,0.11987,1.62289,3.48064,2.34371,0.000928863,0.000928863,0.000928863
13,408.505,0.29919,1.60743,1.00963,0.67168,0.40476,0.46081,0.36329,0.95145,3.41874,1.25217,0.000953,0.000953,0.000953
14,439.011,0.29139,1.62485,1.02109,0.79912,0.47619,0.40422,0.22164,1.33875,3.18212,1.64216,0.00092825,0.00092825,0.00092825
15,469.594,0.29608,1.6177,1.0302,0.81403,0.38095,0.54632,0.36922,1.15863,3.15183,1.32498,0.0009035,0.0009035,0.0009035
16,501.268,0.25581,1.44927,0.98403,0.31362,0.66667,0.56214,0.48843,0.52543,2.01641,0.63865,0.00087875,0.00087875,0.00087875
17,534.047,0.42108,1.62643,1.17176,0.90296,0.44257,0.64643,0.61236,0.54064,1.92659,0.67862,0.000854,0.000854,0.000854
18,566.67,0.25825,1.40954,0.99335,0.65882,0.40734,0.45708,0.38146,0.6586,3.36823,0.86083,0.00082925,0.00082925,0.00082925
19,599.179,0.32152,1.61863,1.04968,0.79133,0.422,0.58912,0.53633,0.51575,2.37994,0.67486,0.0008045,0.0008045,0.0008045
20,631.668,0.23759,1.44883,0.99503,0.70194,0.61905,0.52983,0.44256,0.51192,2.29405,0.6588,0.00077975,0.00077975,0.00077975
21,667.315,0.31973,1.51339,1.03884,0.82851,0.57143,0.60971,0.60245,0.50917,2.09763,0.68783,0.000755,0.000755,0.000755
22,701.401,0.27423,1.41747,0.99492,0.52206,0.83333,0.70213,0.68183,0.39397,1.54731,0.54529,0.00073025,0.00073025,0.00073025
23,732.463,0.26335,1.38938,1.0071,0.58971,0.66667,0.66731,0.63712,0.42632,1.8882,0.6247,0.0007055,0.0007055,0.0007055
24,764.766,0.23851,1.32448,0.99337,0.49793,0.66667,0.67206,0.57577,0.70481,2.15912,0.77037,0.00068075,0.00068075,0.00068075
